azurerm_aadb2c_directory,Microsoft.AzureActiveDirectory/b2cDirectories
azurerm_network_ddos_protection_plan,false
azurerm_network_interface,false
azurerm_network_interface_application_gateway_backend_address_pool_association,false
azurerm_network_interface_application_security_group_association,false
azurerm_network_interface_backend_address_pool_association,false
azurerm_network_interface_nat_rule_association,false
azurerm_network_interface_security_group_association,false
azurerm_network_packet_capture,false
azurerm_network_profile,false
azurerm_network_security_group,false
azurerm_network_security_rule,false
azurerm_network_watcher,false
azurerm_network_watcher_flow_log,false
azurerm_notification_hub,false
azurerm_notification_hub_authorization_rule,false
azurerm_notification_hub_namespace,false
azurerm_orbital_spacecraft,false
azurerm_orchestrated_virtual_machine_scale_set,false
azurerm_point_to_site_vpn_gateway,false
azurerm_policy_definition,false
azurerm_policy_set_definition,false
azurerm_policy_virtual_machine_configuration_assignment,false
azurerm_portal_dashboard,false
azurerm_portal_tenant_configuration,false
azurerm_postgresql_active_directory_administrator,false
azurerm_postgresql_configuration,false
azurerm_postgresql_database,false
azurerm_postgresql_firewall_rule,false
azurerm_postgresql_flexible_server,false
azurerm_postgresql_flexible_server_configuration,false
azurerm_postgresql_flexible_server_database,false
azurerm_postgresql_flexible_server_firewall_rule,false
azurerm_postgresql_server,false
azurerm_postgresql_server_key,false
azurerm_postgresql_virtual_network_rule,false
azurerm_powerbi_embedded,false
azurerm_private_dns_a_record,false
azurerm_private_dns_aaaa_record,false
azurerm_private_dns_cname_record,false
azurerm_private_dns_mx_record,false
azurerm_private_dns_ptr_record,false
azurerm_private_dns_srv_record,false
azurerm_private_dns_txt_record,false
azurerm_private_dns_zone,false
azurerm_private_dns_zone_virtual_network_link,false
azurerm_private_endpoint,false
azurerm_private_link_service,false
azurerm_proximity_placement_group,false
azurerm_public_ip,false
azurerm_public_ip_prefix,false
azurerm_purview_account,false
azurerm_recovery_services_vault,false
azurerm_redis_cache,false
azurerm_redis_enterprise_cluster,false
azurerm_redis_enterprise_database,false
azurerm_redis_firewall_rule,false
azurerm_redis_linked_server,false
azurerm_relay_hybrid_connection,false
azurerm_relay_hybrid_connection_authorization_rule,false
azurerm_relay_namespace,false
azurerm_relay_namespace_authorization_rule,false
azurerm_resource_group,false
azurerm_resource_group_cost_management_export,false
azurerm_resource_group_policy_assignment,false
azurerm_resource_group_policy_exemption,false
azurerm_resource_group_policy_remediation,false
azurerm_resource_group_template_deployment,false
azurerm_resource_policy_assignment,false
azurerm_resource_policy_exemption,false
azurerm_resource_policy_remediation,false
azurerm_resource_provider_registration,false
azurerm_role_assignment,false
azurerm_role_definition,false
azurerm_route,false
azurerm_route_filter,false
azurerm_route_server,false
azurerm_route_server_bgp_connection,false
azurerm_route_table,false
azurerm_search_service,false
azurerm_search_shared_private_link_service,false
azurerm_security_center_assessment,false
azurerm_security_center_assessment_policy,false
azurerm_security_center_auto_provisioning,false
azurerm_security_center_automation,false
azurerm_security_center_contact,false
azurerm_security_center_server_vulnerability_assessment,false
azurerm_security_center_server_vulnerability_assessment_virtual_machine,false
azurerm_security_center_setting,false
azurerm_security_center_subscription_pricing,false
azurerm_security_center_workspace,false
azurerm_sentinel_alert_rule_fusion,false
azurerm_sentinel_alert_rule_machine_learning_behavior_analytics,false
azurerm_sentinel_alert_rule_ms_security_incident,false
azurerm_sentinel_alert_rule_nrt,false
azurerm_sentinel_alert_rule_scheduled,false
azurerm_sentinel_automation_rule,false
azurerm_sentinel_data_connector_aws_cloud_trail,false
azurerm_sentinel_data_connector_aws_s3,false
azurerm_sentinel_data_connector_azure_active_directory,false
azurerm_sentinel_data_connector_azure_advanced_threat_protection,false
azurerm_sentinel_data_connector_azure_security_center,false
azurerm_sentinel_data_connector_microsoft_cloud_app_security,false
azurerm_sentinel_data_connector_microsoft_defender_advanced_threat_protection,false
azurerm_sentinel_data_connector_office_365,false
azurerm_sentinel_data_connector_threat_intelligence,false
azurerm_sentinel_watchlist,false
azurerm_sentinel_watchlist_item,false
azurerm_service_fabric_cluster,false
azurerm_service_fabric_managed_cluster,false
azurerm_service_plan,false
azurerm_servicebus_namespace,false
azurerm_servicebus_namespace_authorization_rule,false
azurerm_servicebus_namespace_disaster_recovery_config,false
azurerm_servicebus_namespace_network_rule_set,false
azurerm_servicebus_queue,false
azurerm_servicebus_queue_authorization_rule,false
azurerm_servicebus_subscription,false
azurerm_servicebus_subscription_rule,false
azurerm_servicebus_topic,false
azurerm_servicebus_topic_authorization_rule,false
azurerm_shared_image,false
azurerm_shared_image_gallery,false
azurerm_shared_image_version,false
azurerm_signalr_service,false
azurerm_signalr_service_network_acl,false
azurerm_signalr_shared_private_link_resource,false
azurerm_site_recovery_fabric,false
azurerm_site_recovery_network_mapping,false
azurerm_site_recovery_protection_container,false
azurerm_site_recovery_protection_container_mapping,false
azurerm_site_recovery_replicated_vm,false
azurerm_site_recovery_replication_policy,false
azurerm_snapshot,false
azurerm_source_control_token,false
azurerm_spatial_anchors_account,false
azurerm_spring_cloud_active_deployment,false
azurerm_spring_cloud_api_portal,false
azurerm_spring_cloud_api_portal_custom_domain,false
azurerm_spring_cloud_app,false
azurerm_spring_cloud_app_cosmosdb_association,false
azurerm_spring_cloud_app_mysql_association,false
azurerm_spring_cloud_app_redis_association,false
azurerm_spring_cloud_build_deployment,false
azurerm_spring_cloud_build_pack_binding,false
azurerm_spring_cloud_builder,false
azurerm_spring_cloud_certificate,false
azurerm_spring_cloud_configuration_service,false
azurerm_spring_cloud_connection,false
azurerm_spring_cloud_container_deployment,false
azurerm_spring_cloud_custom_domain,false
azurerm_spring_cloud_gateway,false
azurerm_spring_cloud_gateway_custom_domain,false
azurerm_spring_cloud_gateway_route_config,false
azurerm_spring_cloud_java_deployment,false
azurerm_spring_cloud_service,false
azurerm_spring_cloud_storage,false
azurerm_sql_active_directory_administrator,false
azurerm_sql_database,false
azurerm_sql_elasticpool,false
azurerm_sql_failover_group,false
azurerm_sql_firewall_rule,false
azurerm_sql_managed_database,false
azurerm_sql_managed_instance,false
azurerm_sql_managed_instance_active_directory_administrator,false
azurerm_sql_managed_instance_failover_group,false
azurerm_sql_server,false
azurerm_sql_virtual_network_rule,false
azurerm_ssh_public_key,false
azurerm_stack_hci_cluster,false
azurerm_static_site,Microsoft.Web/staticSites
azurerm_static_site_custom_domain,false
azurerm_storage_account,Microsoft.Storage/storageAccounts
azurerm_storage_account_customer_managed_key,false
azurerm_storage_account_network_rules,false
azurerm_storage_blob,false
azurerm_storage_blob_inventory_policy,false
azurerm_storage_container,false
azurerm_storage_data_lake_gen2_filesystem,false
azurerm_storage_data_lake_gen2_path,false
azurerm_storage_encryption_scope,false
azurerm_storage_management_policy,false
azurerm_storage_object_replication,false
azurerm_storage_queue,false
azurerm_storage_share,false
azurerm_storage_share_directory,false
azurerm_storage_share_file,false
azurerm_storage_sync,false
azurerm_storage_sync_cloud_endpoint,false
azurerm_storage_sync_group,false
azurerm_storage_table,false
azurerm_storage_table_entity,false
azurerm_stream_analytics_cluster,false
azurerm_stream_analytics_function_javascript_uda,false
azurerm_stream_analytics_function_javascript_udf,false
azurerm_stream_analytics_job,false
azurerm_stream_analytics_job_schedule,false
azurerm_stream_analytics_managed_private_endpoint,false
azurerm_stream_analytics_output_blob,false
azurerm_stream_analytics_output_cosmosdb,false
